Year Month,Postal Code,Customer Class,Total Gallons
201210,78736,Irrigation - Commercial,342600
201705,78741,Irrigation - Commercial,2955100
201702,78726,City of Austin,9000
201309,78704,Irrigation - City of Austin,223000
201705,78758,Irrigation - City of Austin,0
201507,78747,Irrigation - Commercial,572700
201705,78701,Irrigation - Commercial,3355000
201512,78739,Wholesale,10757500
201403,78705,City of Austin,66100
201410,78724,City of Austin,6295600
201201,78617,Irrigation - Commercial,566800
201702,78719,Irrigation - City of Austin,7000
201308,78726,Commercial,10078600
201407,78613,Commercial,4725600
201611,78754,Large Volume,161235400
201506,78756,Austin Water Utility,11200
201212,78735,City of Austin,269000
201610,78717,Austin Water Utility,0
201608,78725,City of Austin,272500
201412,78739,Irrigation - City of Austin,200
201607,78754,Large Volume,178806700
201309,78728,Wholesale,54761100
201301,78741,Irrigation - Commercial,3106800
201410,78728,Commercial,4290100
201511,78758,Irrigation - City of Austin,1511100
201602,78723,Irrigation - City of Austin,7600
201305,78741,Irrigation - City of Austin,289100
201510,78741,City of Austin,863600
201301,78701,Austin Water Utility,140000
201411,78742,Irrigation - Commercial,60500
201406,78742,Austin Water Utility,0
201412,78742,Irrigation - Commercial,57700
201503,78742,Austin Water Utility,0
201701,78617,Irrigation - City of Austin,0
201406,78704,Irrigation - City of Austin,422500
201506,78758,Irrigation - City of Austin,2751800
201606,78754,City of Austin,433600
201701,78735,Wholesale,261800
201204,78758,Irrigation - City of Austin,3462100
201203,78729,Wholesale,24055200
201511,78723,Austin Water Utility,41200
201410,78759,Irrigation - City of Austin,500
201507,78719,City of Austin,6180300
201604,78725,City of Austin,360400
201307,78701,Austin Water Utility,219000
201411,78753,Irrigation - City of Austin,457500
201206,78613,Commercial,3856500
201301,78754,Large Volume,102821500
201309,78729,Commercial,13657200
201607,78754,City of Austin,463900
201301,78717,Irrigation - Commercial,5556700
201607,78719,Austin Water Utility,89500
201608,78653,Wholesale,1000
201705,78702,Irrigation - Commercial,1716900
201507,78660,Wholesale,21699200
201305,78750,Irrigation - Commercial,5552800
201210,78725,Wholesale,1330000
201210,78613,Commercial,3616600
201606,78617,Irrigation - Commercial,508000
201601,78617,Austin Water Utility,175100
201608,78652,Irrigation - Commercial,1343800
201510,78660,Wholesale,28233700
201702,78735,City of Austin,107100
201306,78751,City of Austin,52400
201206,78756,Austin Water Utility,11500
201502,78726,Commercial,5110000
201406,78758,Irrigation - City of Austin,2540600
201506,78702,Irrigation - Commercial,1371000
201308,78725,Large Volume,35390000
201506,78724,Austin Water Utility,574000
201201,78728,Wholesale,37528200
201609,78756,Irrigation - City of Austin,0
201611,78719,Austin Water Utility,231400
201502,78712,Irrigation - Large Volume,7960000
201701,78717,City of Austin,150800
201509,78722,Irrigation - City of Austin,146700
201207,78751,City of Austin,3025700
201504,78719,Wholesale,1342500
201506,78742,Irrigation - Commercial,56300
201209,78729,Commercial,13639000
201210,78725,City of Austin,226100
201409,78754,Irrigation - City of Austin,24600
201209,78727,Irrigation - City of Austin,1800
201406,78729,City of Austin,10500
201406,78617,Irrigation - Commercial,757000
201405,78719,Wholesale,1541700
201505,78741,City of Austin,419500
201411,78702,Austin Water Utility,0
201402,78701,Irrigation - Commercial,989400
201707,78749,Irrigation - City of Austin,28600
201405,78704,Commercial,34196000
201311,78747,Austin Water Utility,98300
201409,78748,Wholesale,559700
201504,78705,City of Austin,102700
201703,78754,Irrigation - City of Austin,72300
201706,78735,Large Volume,20194000
201305,78746,Irrigation - City of Austin,50600
201508,78726,Irrigation - Commercial,6151000
201611,78723,Austin Water Utility,35500
201204,78617,Austin Water Utility,89000
201310,78744,City of Austin,357600
201508,78723,Austin Water Utility,41600
201309,78701,Irrigation - City of Austin,1476100
201602,78701,Austin Water Utility,148000
201312,78741,Large Volume,29362200
201401,78746,City of Austin,747500
201308,78617,Irrigation - Commercial,3706600
201309,78726,Irrigation - Commercial,5059700
201403,78652,Commercial,516500
201404,78753,Irrigation - City of Austin,129700
201408,78746,Wholesale,130266000
201705,78746,Irrigation - City of Austin,131000
201709,78739,Irrigation - City of Austin,11900
201202,78735,Large Volume,16374000
201401,78759,Irrigation - City of Austin,1000
201404,78722,Irrigation - City of Austin,4300
201505,78702,Austin Water Utility,33000
201408,78727,City of Austin,34200
201509,78728,Irrigation - Commercial,8899300
201503,78719,City of Austin,3591700
201206,78746,Wholesale,124130400
201312,78729,Irrigation - Commercial,3184000
201406,78744,Irrigation - Commercial,7495500
